qid,topic,difficulty,model,method,answer_type,original_tokens,used_tokens,cosine_similarity
Arrays-e-001,arrays,SBERT,truncation,short_answer,22,22,0.9304,
Arrays-e-001,arrays,SBERT,truncation,long_answer,418,418,0.6991,
Arrays-e-002,arrays,SBERT,truncation,short_answer,12,12,0.9082,
Arrays-e-002,arrays,SBERT,truncation,long_answer,360,360,0.8315,
Arrays-e-003,arrays,SBERT,truncation,short_answer,12,12,0.8883,
Arrays-e-003,arrays,SBERT,truncation,long_answer,250,250,0.8121,
Arrays-e-004,arrays,SBERT,truncation,short_answer,13,13,0.8262,
Arrays-e-004,arrays,SBERT,truncation,long_answer,224,224,0.6944,
Arrays-e-005,arrays,SBERT,truncation,short_answer,11,11,0.8169,
Arrays-e-005,arrays,SBERT,truncation,long_answer,422,422,0.8296,
Arrays-e-006,arrays,SBERT,truncation,short_answer,10,10,0.8414,
Arrays-e-006,arrays,SBERT,truncation,long_answer,332,332,0.8051,
Arrays-e-007,arrays,SBERT,truncation,short_answer,10,10,0.763,
Arrays-e-007,arrays,SBERT,truncation,long_answer,287,287,0.8168,
Arrays-e-008,arrays,SBERT,truncation,short_answer,11,11,0.7349,
Arrays-e-008,arrays,SBERT,truncation,long_answer,257,257,0.8208,
Arrays-e-009,arrays,SBERT,truncation,short_answer,15,15,0.7841,
Arrays-e-009,arrays,SBERT,truncation,long_answer,401,401,0.8476,
Arrays-e-010,arrays,SBERT,truncation,short_answer,11,11,0.9071,
Arrays-e-010,arrays,SBERT,truncation,long_answer,318,318,0.6997,
Arrays-e-011,arrays,SBERT,truncation,short_answer,12,12,0.794,
Arrays-e-011,arrays,SBERT,truncation,long_answer,295,295,0.6619,
Arrays-e-012,arrays,SBERT,truncation,short_answer,12,12,0.7631,
Arrays-e-012,arrays,SBERT,truncation,long_answer,256,256,0.6795,
Arrays-e-013,arrays,SBERT,truncation,short_answer,11,11,0.9411,
Arrays-e-013,arrays,SBERT,truncation,long_answer,335,335,0.8295,
Arrays-e-014,arrays,SBERT,truncation,short_answer,12,12,0.8451,
Arrays-e-014,arrays,SBERT,truncation,long_answer,303,303,0.8883,
Arrays-e-015,arrays,SBERT,truncation,short_answer,12,12,0.9292,
Arrays-e-015,arrays,SBERT,truncation,long_answer,284,284,0.8315,
Arrays-e-016,arrays,SBERT,truncation,short_answer,8,8,0.8189,
Arrays-e-016,arrays,SBERT,truncation,long_answer,272,272,0.8381,
Arrays-e-017,arrays,SBERT,truncation,short_answer,15,15,0.9013,
Arrays-e-017,arrays,SBERT,truncation,long_answer,291,291,0.7863,
Arrays-e-018,arrays,SBERT,truncation,short_answer,11,11,0.6967,
Arrays-e-018,arrays,SBERT,truncation,long_answer,249,249,0.773,
Arrays-e-019,arrays,SBERT,truncation,short_answer,15,15,0.9165,
Arrays-e-019,arrays,SBERT,truncation,long_answer,224,224,0.8308,
Arrays-e-020,arrays,SBERT,truncation,short_answer,11,11,0.7446,
Arrays-e-020,arrays,SBERT,truncation,long_answer,246,246,0.8415,
Arrays-e-001,arrays,SBERT,truncation,short_answer,22,22,0.9304,
Arrays-e-001,arrays,SBERT,truncation,long_answer,418,418,0.6991,
Arrays-e-002,arrays,SBERT,truncation,short_answer,12,12,0.9082,
Arrays-e-002,arrays,SBERT,truncation,long_answer,360,360,0.8315,
Arrays-e-003,arrays,SBERT,truncation,short_answer,12,12,0.8883,
Arrays-e-003,arrays,SBERT,truncation,long_answer,250,250,0.8121,
Arrays-e-004,arrays,SBERT,truncation,short_answer,13,13,0.8262,
Arrays-e-004,arrays,SBERT,truncation,long_answer,224,224,0.6944,
Arrays-e-005,arrays,SBERT,truncation,short_answer,11,11,0.8169,
Arrays-e-005,arrays,SBERT,truncation,long_answer,422,422,0.8296,
Arrays-e-006,arrays,SBERT,truncation,short_answer,10,10,0.8414,
Arrays-e-006,arrays,SBERT,truncation,long_answer,332,332,0.8051,
Arrays-e-007,arrays,SBERT,truncation,short_answer,10,10,0.763,
Arrays-e-007,arrays,SBERT,truncation,long_answer,287,287,0.8168,
Arrays-e-008,arrays,SBERT,truncation,short_answer,11,11,0.7349,
Arrays-e-008,arrays,SBERT,truncation,long_answer,257,257,0.8208,
Arrays-e-009,arrays,SBERT,truncation,short_answer,15,15,0.7841,
Arrays-e-009,arrays,SBERT,truncation,long_answer,401,401,0.8476,
Arrays-e-010,arrays,SBERT,truncation,short_answer,11,11,0.9071,
Arrays-e-010,arrays,SBERT,truncation,long_answer,318,318,0.6997,
Arrays-e-011,arrays,SBERT,truncation,short_answer,12,12,0.794,
Arrays-e-011,arrays,SBERT,truncation,long_answer,295,295,0.6619,
Arrays-e-012,arrays,SBERT,truncation,short_answer,12,12,0.7631,
Arrays-e-012,arrays,SBERT,truncation,long_answer,256,256,0.6795,
Arrays-e-013,arrays,SBERT,truncation,short_answer,11,11,0.9411,
Arrays-e-013,arrays,SBERT,truncation,long_answer,335,335,0.8295,
Arrays-e-014,arrays,SBERT,truncation,short_answer,12,12,0.8451,
Arrays-e-014,arrays,SBERT,truncation,long_answer,303,303,0.8883,
Arrays-e-015,arrays,SBERT,truncation,short_answer,12,12,0.9292,
Arrays-e-015,arrays,SBERT,truncation,long_answer,284,284,0.8315,
Arrays-e-016,arrays,SBERT,truncation,short_answer,8,8,0.8189,
Arrays-e-016,arrays,SBERT,truncation,long_answer,272,272,0.8381,
Arrays-e-017,arrays,SBERT,truncation,short_answer,15,15,0.9013,
Arrays-e-017,arrays,SBERT,truncation,long_answer,291,291,0.7863,
Arrays-e-018,arrays,SBERT,truncation,short_answer,11,11,0.6967,
Arrays-e-018,arrays,SBERT,truncation,long_answer,249,249,0.773,
Arrays-e-019,arrays,SBERT,truncation,short_answer,15,15,0.9165,
Arrays-e-019,arrays,SBERT,truncation,long_answer,224,224,0.8308,
Arrays-e-020,arrays,SBERT,truncation,short_answer,11,11,0.7446,
Arrays-e-020,arrays,SBERT,truncation,long_answer,246,246,0.8415,
Arrays-e-001,arrays,SBERT,truncation,short_answer,22,22,0.9304,
Arrays-e-001,arrays,SBERT,truncation,long_answer,418,418,0.6991,
Arrays-e-002,arrays,SBERT,truncation,short_answer,12,12,0.9082,
Arrays-e-002,arrays,SBERT,truncation,long_answer,360,360,0.8315,
Arrays-e-003,arrays,SBERT,truncation,short_answer,12,12,0.8883,
Arrays-e-003,arrays,SBERT,truncation,long_answer,250,250,0.8121,
Arrays-e-004,arrays,SBERT,truncation,short_answer,13,13,0.8262,
Arrays-e-004,arrays,SBERT,truncation,long_answer,224,224,0.6944,
Arrays-e-005,arrays,SBERT,truncation,short_answer,11,11,0.8169,
Arrays-e-005,arrays,SBERT,truncation,long_answer,422,422,0.8296,
Arrays-e-006,arrays,SBERT,truncation,short_answer,10,10,0.8414,
Arrays-e-006,arrays,SBERT,truncation,long_answer,332,332,0.8051,
Arrays-e-007,arrays,SBERT,truncation,short_answer,10,10,0.763,
Arrays-e-007,arrays,SBERT,truncation,long_answer,287,287,0.8168,
Arrays-e-008,arrays,SBERT,truncation,short_answer,11,11,0.7349,
Arrays-e-008,arrays,SBERT,truncation,long_answer,257,257,0.8208,
Arrays-e-009,arrays,SBERT,truncation,short_answer,15,15,0.7841,
Arrays-e-009,arrays,SBERT,truncation,long_answer,401,401,0.8476,
Arrays-e-010,arrays,SBERT,truncation,short_answer,11,11,0.9071,
Arrays-e-010,arrays,SBERT,truncation,long_answer,318,318,0.6997,
Arrays-e-011,arrays,SBERT,truncation,short_answer,12,12,0.794,
Arrays-e-011,arrays,SBERT,truncation,long_answer,295,295,0.6619,
Arrays-e-012,arrays,SBERT,truncation,short_answer,12,12,0.7631,
Arrays-e-012,arrays,SBERT,truncation,long_answer,256,256,0.6795,
Arrays-e-013,arrays,SBERT,truncation,short_answer,11,11,0.9411,
Arrays-e-013,arrays,SBERT,truncation,long_answer,335,335,0.8295,
Arrays-e-014,arrays,SBERT,truncation,short_answer,12,12,0.8451,
Arrays-e-014,arrays,SBERT,truncation,long_answer,303,303,0.8883,
Arrays-e-015,arrays,SBERT,truncation,short_answer,12,12,0.9292,
Arrays-e-015,arrays,SBERT,truncation,long_answer,284,284,0.8315,
Arrays-e-016,arrays,SBERT,truncation,short_answer,8,8,0.8189,
Arrays-e-016,arrays,SBERT,truncation,long_answer,272,272,0.8381,
Arrays-e-017,arrays,SBERT,truncation,short_answer,15,15,0.9013,
Arrays-e-017,arrays,SBERT,truncation,long_answer,291,291,0.7863,
Arrays-e-018,arrays,SBERT,truncation,short_answer,11,11,0.6967,
Arrays-e-018,arrays,SBERT,truncation,long_answer,249,249,0.773,
Arrays-e-019,arrays,SBERT,truncation,short_answer,15,15,0.9165,
Arrays-e-019,arrays,SBERT,truncation,long_answer,224,224,0.8308,
Arrays-e-020,arrays,SBERT,truncation,short_answer,11,11,0.7446,
Arrays-e-020,arrays,SBERT,truncation,long_answer,246,246,0.8415,
Backtracking-e-001,backtracking,SBERT,truncation,short_answer,13,13,0.7702,
Backtracking-e-001,backtracking,SBERT,truncation,long_answer,278,278,0.7574,
Backtracking-e-002,backtracking,SBERT,truncation,short_answer,9,9,0.6306,
Backtracking-e-002,backtracking,SBERT,truncation,long_answer,242,242,0.746,
Backtracking-e-003,backtracking,SBERT,truncation,short_answer,6,6,0.7004,
Backtracking-e-003,backtracking,SBERT,truncation,long_answer,236,236,0.7415,
Backtracking-e-004,backtracking,SBERT,truncation,short_answer,13,13,0.8286,
Backtracking-e-004,backtracking,SBERT,truncation,long_answer,207,207,0.7215,
Backtracking-e-005,backtracking,SBERT,truncation,short_answer,12,12,0.8482,
Backtracking-e-005,backtracking,SBERT,truncation,long_answer,285,285,0.8213,
Backtracking-e-006,backtracking,SBERT,truncation,short_answer,11,11,0.7409,
Backtracking-e-006,backtracking,SBERT,truncation,long_answer,257,257,0.7885,
Backtracking-e-007,backtracking,SBERT,truncation,short_answer,12,12,0.8335,
Backtracking-e-007,backtracking,SBERT,truncation,long_answer,219,219,0.7762,
Backtracking-e-008,backtracking,SBERT,truncation,short_answer,11,11,0.868,
Backtracking-e-008,backtracking,SBERT,truncation,long_answer,189,189,0.6887,
Backtracking-e-009,backtracking,SBERT,truncation,short_answer,14,14,0.8599,
Backtracking-e-009,backtracking,SBERT,truncation,long_answer,224,224,0.7424,
Backtracking-e-010,backtracking,SBERT,truncation,short_answer,9,9,0.8269,
Backtracking-e-010,backtracking,SBERT,truncation,long_answer,176,176,0.8523,
Backtracking-e-011,backtracking,SBERT,truncation,short_answer,8,8,0.6134,
Backtracking-e-011,backtracking,SBERT,truncation,long_answer,200,200,0.6353,
Backtracking-e-012,backtracking,SBERT,truncation,short_answer,11,11,0.8731,
Backtracking-e-012,backtracking,SBERT,truncation,long_answer,168,168,0.6917,
Backtracking-e-013,backtracking,SBERT,truncation,short_answer,12,12,0.8707,
Backtracking-e-013,backtracking,SBERT,truncation,long_answer,206,206,0.5629,
Backtracking-e-014,backtracking,SBERT,truncation,short_answer,12,12,0.8176,
Backtracking-e-014,backtracking,SBERT,truncation,long_answer,183,183,0.6929,
Backtracking-e-015,backtracking,SBERT,truncation,short_answer,9,9,0.7241,
Backtracking-e-015,backtracking,SBERT,truncation,long_answer,169,169,0.6644,
Backtracking-e-016,backtracking,SBERT,truncation,short_answer,7,7,0.5336,
Backtracking-e-016,backtracking,SBERT,truncation,long_answer,165,165,0.7247,
Backtracking-e-017,backtracking,SBERT,truncation,short_answer,15,15,0.8009,
Backtracking-e-017,backtracking,SBERT,truncation,long_answer,180,180,0.6698,
Backtracking-e-018,backtracking,SBERT,truncation,short_answer,8,8,0.5958,
Backtracking-e-018,backtracking,SBERT,truncation,long_answer,165,165,0.7885,
Backtracking-e-019,backtracking,SBERT,truncation,short_answer,11,11,0.6947,
Backtracking-e-019,backtracking,SBERT,truncation,long_answer,175,175,0.7359,
Backtracking-e-020,backtracking,SBERT,truncation,short_answer,7,7,0.7055,
Backtracking-e-020,backtracking,SBERT,truncation,long_answer,143,143,0.786,
Backtracking-e-001,backtracking,SBERT,truncation,short_answer,13,13,0.7702,
Backtracking-e-001,backtracking,SBERT,truncation,long_answer,278,278,0.7574,
Backtracking-e-002,backtracking,SBERT,truncation,short_answer,9,9,0.6306,
Backtracking-e-002,backtracking,SBERT,truncation,long_answer,242,242,0.746,
Backtracking-e-003,backtracking,SBERT,truncation,short_answer,6,6,0.7004,
Backtracking-e-003,backtracking,SBERT,truncation,long_answer,236,236,0.7415,
Backtracking-e-004,backtracking,SBERT,truncation,short_answer,13,13,0.8286,
Backtracking-e-004,backtracking,SBERT,truncation,long_answer,207,207,0.7215,
Backtracking-e-005,backtracking,SBERT,truncation,short_answer,12,12,0.8482,
Backtracking-e-005,backtracking,SBERT,truncation,long_answer,285,285,0.8213,
Backtracking-e-006,backtracking,SBERT,truncation,short_answer,11,11,0.7409,
Backtracking-e-006,backtracking,SBERT,truncation,long_answer,257,257,0.7885,
Backtracking-e-007,backtracking,SBERT,truncation,short_answer,12,12,0.8335,
Backtracking-e-007,backtracking,SBERT,truncation,long_answer,219,219,0.7762,
Backtracking-e-008,backtracking,SBERT,truncation,short_answer,11,11,0.868,
Backtracking-e-008,backtracking,SBERT,truncation,long_answer,189,189,0.6887,
Backtracking-e-009,backtracking,SBERT,truncation,short_answer,14,14,0.8599,
Backtracking-e-009,backtracking,SBERT,truncation,long_answer,224,224,0.7424,
Backtracking-e-010,backtracking,SBERT,truncation,short_answer,9,9,0.8269,
Backtracking-e-010,backtracking,SBERT,truncation,long_answer,176,176,0.8523,
